Id, Region, Country, TotalCases, TotalTests, ActiveCases
2333,Europe,Austria,6072229,211273524,6932
2334,Europe,Greece,6025776,102228365,6199
2335,Europe,Portugal,5582987,46082209,2195
2336,Europe,Ukraine,5538357,32603805,19743
2340,Europe,Belgium,4797108,37018657,9230
2343,Europe,Czechia,4641335,57196320,1426
2346,Europe,Switzerland,4404327,23833472,4109
2349,Europe,Romania,3397365,27242332,7241
2350,Europe,Denmark,3181366,129276961,786
2352,Europe,Sweden,2708137,19500873,3245
2353,Europe,Serbia,2538899,12858629,5230
2357,Europe,Hungary,2202179,11394556,3472
2359,Europe,Slovakia,1866647,7428816,335
2362,Europe,Ireland,1711233,13083449,2300
2364,Europe,Norway,1483639,11002430,474
2365,Europe,Finland,1477021,12090288,4607
2367,Europe,Slovenia,1343626,2847701,8520
2368,Europe,Lithuania,1319481,10444610,1431
2369,Europe,Bulgaria,1306103,11209774,2129
2371,Europe,Croatia,1273508,5588632,383
2384,Europe,Belarus,994037,13646641,1327
2385,Europe,Latvia,977833,7875439,194
2396,Europe,Moldova,620419,3216305,104164
2397,Europe,Estonia,618218,3707220,90227
2406,Europe,Bosnia and Herzegovina,402890,1884721,7467
2408,Europe,North Macedonia,348215,2226216,1471
2411,Europe,Albania,334726,1941032,1696
2413,Europe,Luxembourg,319959,4587145,2037
2415,Europe,Montenegro,291820,2752880,583
2424,Europe,Iceland,209191,
